Nom de la commune;Code département;Nom de la région;Population totale
Les Ulis;91;Île-de-France;25031
Armentières;59;Hauts-de-France;25373
Le Kremlin-Bicêtre;94;Île-de-France;25422
Libourne;33;Nouvelle-Aquitaine;25491
Eaubonne;95;Île-de-France;25514
Biarritz;64;Nouvelle-Aquitaine;25518
La Garde;83;Provence-Alpes-Côte d'Azur;25645
Saint-Dizier;52;Grand Est;25666
Rodez;12;Occitanie;25747
Béthune;62;Hauts-de-France;25753
Élancourt;78;Île-de-France;25829
Muret;31;Occitanie;25961
Montbéliard;25;Bourgogne-Franche-Comté;26015
Gradignan;33;Nouvelle-Aquitaine;26029
Laon;02;Hauts-de-France;26031
Remire-Montjoly;973;Guyane;26170
Le Grand-Quevilly;76;Normandie;26175
Miramas;13;Provence-Alpes-Côte d'Azur;26217
Sèvremoine;49;Pays de la Loire;26239
Hénin-Beaumont;62;Hauts-de-France;26260
Montfermeil;93;Île-de-France;26262
Lunel;34;Occitanie;26263
Villeparisis;77;Île-de-France;26507
Brunoy;91;Île-de-France;26520
La Teste-de-Buch;33;Nouvelle-Aquitaine;26525
Taverny;95;Île-de-France;26541
Gonesse;95;Île-de-France;26556
Sucy-en-Brie;94;Île-de-France;26575
Orvault;44;Pays de la Loire;26618
Romainville;93;Île-de-France;26640
Sens;89;Bourgogne-Franche-Comté;26688
Brétigny-sur-Orge;91;Île-de-France;26702
Kourou;973;Guyane;26726
Rambouillet;78;Île-de-France;26781
Vallauris;06;Provence-Alpes-Côte d'Azur;26787
Oullins;69;Auvergne-Rhône-Alpes;26838
Saintes;17;Nouvelle-Aquitaine;26890
Limeil-Brévannes;94;Île-de-France;26901
Cavaillon;84;Provence-Alpes-Côte d'Azur;26985
Tournefeuille;31;Occitanie;27008
Le Gosier;971;Guadeloupe;27023
Vierzon;18;Centre-Val de Loire;27036
Sannois;95;Île-de-France;27118
Alençon;61;Normandie;27221
Bussy-Saint-Georges;77;Île-de-France;27299
Illkirch-Graffenstaden;67;Grand Est;27505
Villiers-le-Bel;95;Île-de-France;27519
Fresnes;94;Île-de-France;27556
Saint-Sébastien-sur-Loire;44;Pays de la Loire;27591
Aurillac;15;Auvergne-Rhône-Alpes;27659
Lambersart;59;Hauts-de-France;28027
Bègles;33;Nouvelle-Aquitaine;28092
Agde;34;Occitanie;28120
Vanves;92;Île-de-France;28148
Bergerac;24;Nouvelle-Aquitaine;28166
Décines-Charpieu;69;Auvergne-Rhône-Alpes;28249
Bourgoin-Jallieu;38;Auvergne-Rhône-Alpes;28399
Saumur;49;Pays de la Loire;28554
Le Chesnay;78;Île-de-France;28558
Bois-Colombes;92;Île-de-France;28607
Saint-Laurent-du-Var;06;Provence-Alpes-Côte d'Azur;28831
Guyancourt;78;Île-de-France;28839
Menton;06;Provence-Alpes-Côte d'Azur;28942
Ris-Orangis;91;Île-de-France;29040
Grigny;91;Île-de-France;29118
Yerres;91;Île-de-France;29132
Saint-Étienne-du-Rouvray;76;Normandie;29180
Le Plessis-Robinson;92;Île-de-France;29192
Bezons;95;Île-de-France;29216
Thiais;94;Île-de-France;29295
Ermont;95;Île-de-France;29400
Villiers-sur-Marne;94;Île-de-France;29407
Soissons;02;Hauts-de-France;29417
Carpentras;84;Provence-Alpes-Côte d'Azur;29498
La Garenne-Colombes;92;Île-de-France;29503
Draveil;91;Île-de-France;29558
Herblay;95;Île-de-France;29614
Pierrefitte-sur-Seine;93;Île-de-France;29728
Sotteville-lès-Rouen;76;Normandie;29766
Orange;84;Provence-Alpes-Côte d'Azur;29856
Clichy-sous-Bois;93;Île-de-France;29978
Maubeuge;59;Hauts-de-France;29995
Vienne;38;Auvergne-Rhône-Alpes;30178
Villemomble;93;Île-de-France;30227
Rillieux-la-Pape;69;Auvergne-Rhône-Alpes;30275
Malakoff;92;Île-de-France;30286
Savigny-le-Temple;77;Île-de-France;30352
Aix-les-Bains;73;Auvergne-Rhône-Alpes;30377
Lyon 1er Arrondissement;69;Auvergne-Rhône-Alpes;30423
Vandœuvre-lès-Nancy;54;Grand Est;30502
Cachan;94;Île-de-France;30524
Dieppe;76;Normandie;30588
Charenton-le-Pont;94;Île-de-France;30793
Saint-Cloud;92;Île-de-France;30797
Lyon 2e Arrondissement;69;Auvergne-Rhône-Alpes;30857
Viry-Châtillon;91;Île-de-France;30962
Lens;62;Hauts-de-France;31080
Goussainville;95;Île-de-France;31167
Liévin;62;Hauts-de-France;31337
Baie-Mahault;971;Guadeloupe;31338
L' Haÿ-les-Roses;94;Île-de-France;31416
Vigneux-sur-Seine;91;Île-de-France;31488
Périgueux;24;Nouvelle-Aquitaine;31505
Mont-de-Marsan;40;Nouvelle-Aquitaine;31517
Dreux;28;Centre-Val de Loire;31575
Saint-Médard-en-Jalles;33;Nouvelle-Aquitaine;31576
Chatou;78;Île-de-France;31653
Pontoise;95;Île-de-France;31880
Schiltigheim;67;Grand Est;32024
Houilles;78;Île-de-France;32064
Plaisir;78;Île-de-France;32128
Nogent-sur-Marne;94;Île-de-France;32195
Matoury;973;Guyane;32768
Les Mureaux;78;Île-de-France;32777
Châtellerault;86;Nouvelle-Aquitaine;32887
Trappes;78;Île-de-France;32931
Villenave-d'Ornon;33;Nouvelle-Aquitaine;33091
Villeneuve-Saint-Georges;94;Île-de-France;33135
La Possession;974;La Réunion;33337
Cambrai;59;Hauts-de-France;33349
Meyzieu;69;Auvergne-Rhône-Alpes;33351
Châtenay-Malabry;92;Île-de-France;33413
Épinal;88;Grand Est;33454
